threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,positive_rate,tn,fp,fn,tp,fpr,fnr,seed,best_val_f1,n_epochs
0.5,0.9679358717434869,0.8735632183908046,0.9382716049382716,0.9047619047619048,0.9951267056530214,0.9805438480123682,0.1623246492985972,407,11,5,76,0.02631578947368421,0.06172839506172839,43,0.8953488372093024,50
0.5,0.9498997995991983,0.7916666666666666,0.9382716049382716,0.8587570621468926,0.9922913343965976,0.9662850771712724,0.1623246492985972,398,20,5,76,0.04784688995215311,0.06172839506172839,44,0.8681318681318682,24
0.5,0.9599198396793587,0.8351648351648352,0.9382716049382716,0.8837209302325582,0.9945360033079331,0.9787290342524791,0.1623246492985972,403,15,5,76,0.03588516746411483,0.06172839506172839,45,0.8977272727272727,50
0.5,0.9559118236472945,0.8172043010752689,0.9382716049382716,0.8735632183908046,0.9910213243546576,0.9597904679869049,0.1623246492985972,401,17,5,76,0.04066985645933014,0.06172839506172839,46,0.8764044943820225,25
0.5,0.9679358717434869,0.8651685393258427,0.9506172839506173,0.9058823529411765,0.9955106621773288,0.9829594639000082,0.1623246492985972,406,12,4,77,0.028708133971291867,0.04938271604938271,47,0.9132947976878613,50
0.5,0.9659318637274549,0.872093023255814,0.9259259259259259,0.8982035928143712,0.9950085651840037,0.9797582763475756,0.1623246492985972,407,11,6,75,0.02631578947368421,0.07407407407407407,48,0.9069767441860465,50
0.5,0.9519038076152304,0.8064516129032258,0.9259259259259259,0.8620689655172413,0.9823379998818594,0.9126373434970239,0.1623246492985972,400,18,6,75,0.0430622009569378,0.07407407407407407,49,0.875,21
0.5,0.9659318637274549,0.8636363636363636,0.9382716049382716,0.8994082840236687,0.9955697324118377,0.9807160462379559,0.1623246492985972,406,12,5,76,0.028708133971291867,0.06172839506172839,50,0.9028571428571428,50
0.5,0.9619238476953907,0.8444444444444444,0.9382716049382716,0.8888888888888888,0.9941815819008801,0.9765213610950692,0.1623246492985972,404,14,5,76,0.03349282296650718,0.06172839506172839,51,0.8764044943820225,35
0.5,0.9539078156312625,0.8222222222222222,0.9135802469135802,0.8654970760233918,0.9901057357197708,0.9543287195135046,0.1623246492985972,402,16,7,74,0.03827751196172249,0.08641975308641975,52,0.8764044943820225,23
