epoch,train_loss,val_loss,val_f1,val_auc
0,0.785653293132782,0.46290042996406555,0.4431137724550898,0.9057416267942584
1,0.502109706401825,0.40074580907821655,0.43312101910828027,0.8954545454545455
2,0.4284837245941162,0.3205907642841339,0.6434782608695652,0.9583732057416268
3,0.36220118403434753,0.2889438271522522,0.7474747474747475,0.9746411483253588
4,0.3311111032962799,0.2561303377151489,0.7708333333333334,0.9775119617224881
5,0.30858951807022095,0.22115489840507507,0.7916666666666666,0.9799043062200956
6,0.26951083540916443,0.19337226450443268,0.8,0.9799043062200957
7,0.24686528742313385,0.17848917841911316,0.7956989247311828,0.9807416267942584
8,0.22615419328212738,0.17325524985790253,0.8043478260869565,0.9793062200956938
9,0.2087739109992981,0.1655500829219818,0.7956989247311828,0.9794258373205742
10,0.19191807508468628,0.1599021703004837,0.8,0.9809808612440192
11,0.18678560853004456,0.15310035645961761,0.8085106382978723,0.9825358851674642
12,0.17959345877170563,0.1442156881093979,0.8409090909090909,0.9854066985645935
13,0.16500826179981232,0.12931029498577118,0.8409090909090909,0.9874401913875599
14,0.1701143980026245,0.12427802383899689,0.8222222222222222,0.9861244019138755
15,0.15929332375526428,0.13565824925899506,0.8275862068965517,0.9842105263157894
16,0.16164153814315796,0.15069007873535156,0.8089887640449438,0.9828947368421053
17,0.1495545208454132,0.1549573540687561,0.8089887640449438,0.9825358851674642
18,0.14304721355438232,0.15707649290561676,0.8470588235294118,0.9861244019138755
19,0.1404954195022583,0.1489143967628479,0.8470588235294118,0.9869617224880383
20,0.1319863498210907,0.15952612459659576,0.8372093023255814,0.9864832535885167
21,0.13769656419754028,0.17068688571453094,0.8275862068965517,0.9863636363636363
22,0.11986832320690155,0.18968001008033752,0.813953488372093,0.9852870813397129
23,0.1224202811717987,0.20477698743343353,0.8333333333333334,0.9850478468899522
24,0.1297311633825302,0.1920773684978485,0.8235294117647058,0.9858851674641149
25,0.12337065488100052,0.1810305267572403,0.8372093023255814,0.9867224880382776
26,0.11944864690303802,0.18948954343795776,0.8292682926829268,0.9869617224880383
27,0.11026102304458618,0.204404816031456,0.825,0.9867224880382774
28,0.11965275555849075,0.20907747745513916,0.825,0.9869617224880383
29,0.11391519010066986,0.20621268451213837,0.8148148148148148,0.9873205741626794
30,0.11471620202064514,0.20803378522396088,0.8048780487804879,0.9860047846889952
31,0.10887578874826431,0.20760932564735413,0.7857142857142857,0.9850478468899522
32,0.10946667939424515,0.2078908532857895,0.7857142857142857,0.9850478468899522
33,0.11713699251413345,0.20790866017341614,0.7951807228915663,0.985287081339713
