epoch,train_loss,val_loss,val_f1,val_auc
0,0.6873610615730286,0.49524250626564026,0.5945945945945946,0.9260692404655118
1,0.5304445028305054,0.43568751215934753,0.6062992125984252,0.9326649664350835
2,0.458022803068161,0.4012487232685089,0.6260162601626016,0.9383812622753789
3,0.4223672151565552,0.37042778730392456,0.6443514644351465,0.9456219036730865
4,0.3897448778152466,0.3404921591281891,0.6581196581196581,0.9528918594084367
5,0.3544022738933563,0.31313031911849976,0.6842105263157895,0.9622138187787647
6,0.33422723412513733,0.2890283465385437,0.7393364928909952,0.9665230264122182
7,0.3061240613460541,0.26809120178222656,0.7609756097560976,0.9689561164365491
8,0.2909259498119354,0.2502419948577881,0.8210526315789474,0.9710081200715269
9,0.2673359215259552,0.23600202798843384,0.8432432432432433,0.9723858939407264
10,0.25347286462783813,0.22460338473320007,0.8432432432432433,0.9738222964852109
11,0.24125860631465912,0.21527674794197083,0.8478260869565217,0.974643097939202
12,0.22750020027160645,0.2071406990289688,0.8478260869565217,0.9755518424061209
13,0.22053351998329163,0.20036432147026062,0.8524590163934426,0.9768416732623926
14,0.2101234793663025,0.1949889212846756,0.8571428571428571,0.9779263037551666
15,0.19580666720867157,0.19063504040241241,0.8524590163934426,0.9784246474950898
16,0.1837567389011383,0.1873539388179779,0.8478260869565217,0.9785419048456601
17,0.1752987802028656,0.18496745824813843,0.8432432432432433,0.9785419048456601
18,0.17045965790748596,0.18320107460021973,0.8432432432432433,0.9792161346114385
19,0.16758175194263458,0.1820657104253769,0.8432432432432433,0.9793920206372937
20,0.15711148083209991,0.18139716982841492,0.8432432432432433,0.9795092779878639
21,0.15329188108444214,0.18049860000610352,0.8387096774193549,0.9802128220912849
22,0.14586466550827026,0.1791044920682907,0.8324324324324325,0.9801248790783573
23,0.1437009871006012,0.1772317886352539,0.8369565217391305,0.9807404801688505
24,0.1376200020313263,0.17489509284496307,0.8369565217391305,0.9818837393369096
25,0.13134531676769257,0.17242971062660217,0.8369565217391305,0.9827631694661859
26,0.12763068079948425,0.1699032336473465,0.8369565217391305,0.9836425995954621
27,0.1248733326792717,0.16705505549907684,0.8369565217391305,0.9847272300882363
28,0.12299080938100815,0.16329002380371094,0.8369565217391305,0.9857825462433677
29,0.11754687130451202,0.1596899926662445,0.8369565217391305,0.9865447190220736
