threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,positive_rate,tn,fp,fn,tp,fpr,fnr,seed,best_val_f1,n_epochs
0.5,0.693069306930693,0.75,0.09090909090909091,0.16216216216216217,0.7134581105169341,0.6419244750677465,0.32673267326732675,67,1,30,3,0.014705882352941176,0.9090909090909091,43,0.925,42
0.5,0.693069306930693,0.75,0.09090909090909091,0.16216216216216217,0.7664884135472371,0.6665015433528537,0.32673267326732675,67,1,30,3,0.014705882352941176,0.9090909090909091,44,0.9259259259259259,41
0.5,0.7029702970297029,0.8,0.12121212121212122,0.21052631578947367,0.7170231729055259,0.6176974046396291,0.32673267326732675,67,1,29,4,0.014705882352941176,0.8787878787878788,45,0.9316770186335404,40
0.5,0.6831683168316832,0.6666666666666666,0.06060606060606061,0.1111111111111111,0.7745098039215687,0.6501780566444075,0.32673267326732675,67,1,31,2,0.014705882352941176,0.9393939393939394,46,0.9101796407185628,46
0.5,0.6633663366336634,0.0,0.0,0.0,0.7535650623885918,0.6198216085986488,0.32673267326732675,67,1,33,0,0.014705882352941176,1.0,47,0.9375,50
