epoch,train_loss,val_loss,val_f1,val_auc
0,0.7891718745231628,0.30950868129730225,0.6,0.9456168831168831
1,0.4057382643222809,0.23483169078826904,0.71875,0.9521103896103896
2,0.45795169472694397,0.24674591422080994,0.6956521739130435,0.9526515151515151
3,0.3598584830760956,0.2804493308067322,0.6153846153846154,0.949134199134199
4,0.35893070697784424,0.27501967549324036,0.6,0.9502164502164503
5,0.34164321422576904,0.24902451038360596,0.64,0.9502164502164502
6,0.3332328498363495,0.2343800812959671,0.6575342465753424,0.9518398268398268
7,0.3212304711341858,0.2301226556301117,0.6666666666666666,0.9531926406926408
8,0.3158639669418335,0.22800451517105103,0.6666666666666666,0.9548160173160173
9,0.3056983947753906,0.23317350447177887,0.6486486486486487,0.9567099567099566
10,0.29620468616485596,0.22813396155834198,0.6956521739130435,0.9586038961038961
11,0.28675970435142517,0.2202041894197464,0.7164179104477612,0.95995670995671
12,0.2804473042488098,0.20996786653995514,0.696969696969697,0.9626623376623376
13,0.2607113718986511,0.19906927645206451,0.6865671641791045,0.9634740259740259
14,0.2584199905395508,0.19995911419391632,0.7058823529411765,0.9642857142857142
15,0.2459130734205246,0.19861677289009094,0.7058823529411765,0.9650974025974025
16,0.2591055929660797,0.19855119287967682,0.7058823529411765,0.964556277056277
