pair_key,node_idx,tender_id,country,attention,is_cartel_pair,tender_label,pred_prob
usa_15_112,1744,1016,usa,0.212669,0,0,7.97227e-08
usa_110_112,1744,1016,usa,0.3347089,0,0,7.97227e-08
usa_8_73,1745,1019,usa,0.41802782,0,0,9.4291085e-05
usa_73_104,1745,1019,usa,0.14044988,1,0,9.4291085e-05
usa_8_104,1745,1019,usa,0.44152227,0,0,9.4291085e-05
usa_8_97,1746,1020,usa,0.32797185,0,0,7.758684e-05
usa_8_104,1746,1020,usa,0.3509992,0,0,7.758684e-05
usa_97_104,1746,1020,usa,0.32102895,0,0,7.758684e-05
usa_15_106,1747,1021,usa,1.0,0,0,5.9091633e-08
usa_61_73,1748,1022,usa,1.0,0,0,0.00027512875
usa_73_99,1749,1025,usa,1.0,1,0,0.0063567273
usa_73_101,1750,1030,usa,0.37749636,1,0,0.007614919
usa_99_101,1750,1030,usa,0.31717834,1,0,0.007614919
usa_73_99,1750,1030,usa,0.30532524,1,0,0.007614919
usa_99_101,1751,1031,usa,1.0,1,0,0.0004480035
usa_43_64,1752,1035,usa,0.011998281,1,1,0.9998042
usa_43_99,1752,1035,usa,0.14206529,1,1,0.9998042
usa_43_116,1752,1035,usa,0.09633937,1,1,0.9998042
usa_64_99,1752,1035,usa,0.21860974,1,1,0.9998042
usa_64_116,1752,1035,usa,0.13478115,1,1,0.9998042
usa_99_116,1752,1035,usa,0.39620623,1,1,0.9998042
usa_42_73,1753,1039,usa,1.0,0,0,0.00038694128
usa_73_104,1754,1043,usa,1.0,1,0,0.0010572559
usa_64_73,1755,1044,usa,0.32300606,1,1,0.9988906
usa_64_99,1755,1044,usa,0.12551601,1,1,0.9988906
usa_64_101,1755,1044,usa,0.10205077,1,1,0.9988906
usa_73_99,1755,1044,usa,0.10780024,1,1,0.9988906
usa_73_101,1755,1044,usa,0.21779066,1,1,0.9988906
usa_99_101,1755,1044,usa,0.12383619,1,1,0.9988906
usa_64_73,1756,1046,usa,1.0,1,1,0.9981957
usa_73_101,1757,1048,usa,1.0,1,0,0.0002359587
usa_12_99,1758,1049,usa,0.29831374,1,0,0.0036902155
usa_73_99,1758,1049,usa,0.50103134,1,0,0.0036902155
usa_12_73,1758,1049,usa,0.20065491,1,0,0.0036902155
usa_12_53,1759,1050,usa,0.8310054,0,0,9.620914e-05
usa_12_99,1759,1050,usa,0.16899459,1,0,9.620914e-05
usa_8_103,1760,1056,usa,1.0,0,0,4.932773e-07
usa_40_106,1761,1058,usa,0.3817174,0,0,5.401057e-05
usa_92_106,1761,1058,usa,0.33396578,0,0,5.401057e-05
usa_40_92,1761,1058,usa,0.28431687,0,0,5.401057e-05
usa_40_106,1762,1059,usa,1.0,0,0,1.431231e-07
usa_40_92,1763,1060,usa,0.18453798,0,0,1.1921782e-05
usa_92_106,1763,1060,usa,0.31567726,0,0,1.1921782e-05
usa_40_106,1763,1060,usa,0.49978474,0,0,1.1921782e-05
usa_92_104,1764,1064,usa,0.200441,1,0,9.3953255e-05
usa_92_106,1764,1064,usa,0.42523804,0,0,9.3953255e-05
usa_104_106,1764,1064,usa,0.374321,0,0,9.3953255e-05
usa_47_92,1765,1066,usa,0.27109566,0,0,5.228327e-05
usa_92_106,1765,1066,usa,0.41496438,0,0,5.228327e-05
usa_47_106,1765,1066,usa,0.3139399,0,0,5.228327e-05
usa_12_106,1766,1069,usa,0.28788504,0,0,2.8067901e-05
usa_14_106,1766,1069,usa,0.37424093,0,0,2.8067901e-05
usa_12_14,1766,1069,usa,0.337874,0,0,2.8067901e-05
