fold,runs,file,test_acc,test_acc_sd,test_prec,test_prec_sd,test_rec,test_rec_sd,test_f1,test_f1_sd,test_auc,test_auc_sd
merged_japan_usa_cnn_stage1_results.csv,5,outputs/models/cnn_cross_fold/fold_brazil/merged_japan_usa_cnn_stage1_results.csv,0.9544686527345487,0.021652858685983004,0.9953966790831489,0.00627317101984564,0.8658553076402976,0.07093690360349672,0.9247286305083584,0.038059664568368685,0.9964084127100372,0.001483393620072113
merged_japan_usa,5,outputs/models/cnn_cross_fold/fold_brazil/merged_japan_usa_cnn_stage1_trainonly_results.csv,0.8825986078886311,0.006833724582377309,0.8957757051825883,0.030097385645265904,0.7631067961165049,0.04064034323870709,0.822960028418386,0.015191143412616882,0.935579393364818,0.003789084957164218
merged_brazil_usa_cnn_stage1_results.csv,5,outputs/models/cnn_cross_fold/fold_japan/merged_brazil_usa_cnn_stage1_results.csv,0.9104761904761904,0.04849199854514655,0.8737878126989365,0.12750561442174543,0.925,0.05376453291901644,0.8912312111244726,0.04713716109952019,0.9850961538461538,0.0028328692043569506
merged_brazil_usa,5,outputs/models/cnn_cross_fold/fold_japan/merged_brazil_usa_cnn_stage1_trainonly_results.csv,0.631578947368421,0.09846466807299845,0.5738243239453735,0.09917930292826803,0.7375,0.14252192813739226,0.6298817966903073,0.03995257879030445,0.7454545454545455,0.03400794829919414
merged_brazil_japan_cnn_stage1_results.csv,5,outputs/models/cnn_cross_fold/fold_usa/merged_brazil_japan_cnn_stage1_results.csv,0.9692167577413479,0.010772974160964972,0.997913529166697,0.0015855402932034477,0.9088781830695114,0.03343274101509093,0.9510432647541845,0.01816418365491722,0.9979561943973435,0.00035956795315365966
merged_brazil_japan,5,outputs/models/cnn_cross_fold/fold_usa/merged_brazil_japan_cnn_stage1_trainonly_results.csv,0.8950236966824644,0.009085445266673382,0.8888038472897379,0.028822406069771978,0.8124590163934429,0.02805147493273105,0.8482939187329681,0.013163205575150976,0.9463110191915813,0.003260398371332786
merged_brazil_japan_usa,5,outputs/models/pooled_m1/merged_brazil_japan_usa_cnn_stage1_trainonly_results.csv,0.8977064220183486,0.005463820756684264,0.9362768097805093,0.02203940205767311,0.77015873015873,0.03147503379795665,0.8444629538039857,0.012165589197659027,0.9533373229603033,0.0027881505281367987
