threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,positive_rate,tn,fp,fn,tp,fpr,fnr,model,seed
0.5,0.5410821643286573,0.17256637168141592,0.48148148148148145,0.254071661237785,0.5460747829168882,0.20153166078711124,0.1623246492985972,231,187,42,39,0.4473684210526316,0.5185185185185185,LR,43
0.5,0.5410821643286573,0.17256637168141592,0.48148148148148145,0.254071661237785,0.5460747829168882,0.20153166078711124,0.1623246492985972,231,187,42,39,0.4473684210526316,0.5185185185185185,LR,44
0.5,0.5410821643286573,0.17256637168141592,0.48148148148148145,0.254071661237785,0.5460747829168882,0.20153166078711124,0.1623246492985972,231,187,42,39,0.4473684210526316,0.5185185185185185,LR,45
0.5,0.5410821643286573,0.17256637168141592,0.48148148148148145,0.254071661237785,0.5460747829168882,0.20153166078711124,0.1623246492985972,231,187,42,39,0.4473684210526316,0.5185185185185185,LR,46
0.5,0.5410821643286573,0.17256637168141592,0.48148148148148145,0.254071661237785,0.5460747829168882,0.20153166078711124,0.1623246492985972,231,187,42,39,0.4473684210526316,0.5185185185185185,LR,47
0.5,0.8136272545090181,0.35714285714285715,0.18518518518518517,0.24390243902439024,0.6632110579479,0.2938923247633158,0.1623246492985972,391,27,66,15,0.0645933014354067,0.8148148148148148,RF_default,43
0.5,0.8036072144288577,0.3023255813953488,0.16049382716049382,0.20967741935483872,0.6718796148620709,0.30011348329303583,0.1623246492985972,388,30,68,13,0.07177033492822966,0.8395061728395061,RF_default,44
0.5,0.8036072144288577,0.3023255813953488,0.16049382716049382,0.20967741935483872,0.6592385846771811,0.283480818337184,0.1623246492985972,388,30,68,13,0.07177033492822966,0.8395061728395061,RF_default,45
0.5,0.8056112224448898,0.32608695652173914,0.18518518518518517,0.23622047244094488,0.6538041231023688,0.2794000126569768,0.1623246492985972,387,31,66,15,0.07416267942583732,0.8148148148148148,RF_default,46
0.5,0.7955911823647295,0.26666666666666666,0.14814814814814814,0.19047619047619047,0.6486354775828461,0.29006769168189805,0.1623246492985972,385,33,69,12,0.07894736842105263,0.8518518518518519,RF_default,47
0.5,0.7254509018036072,0.25862068965517243,0.37037037037037035,0.30456852791878175,0.6779490814578533,0.2733003201795126,0.1623246492985972,332,86,51,30,0.20574162679425836,0.6296296296296297,HistGB,43
0.5,0.7254509018036072,0.25862068965517243,0.37037037037037035,0.30456852791878175,0.6779490814578533,0.2733003201795126,0.1623246492985972,332,86,51,30,0.20574162679425836,0.6296296296296297,HistGB,44
0.5,0.7254509018036072,0.25862068965517243,0.37037037037037035,0.30456852791878175,0.6779490814578533,0.2733003201795126,0.1623246492985972,332,86,51,30,0.20574162679425836,0.6296296296296297,HistGB,45
0.5,0.7254509018036072,0.25862068965517243,0.37037037037037035,0.30456852791878175,0.6779490814578533,0.2733003201795126,0.1623246492985972,332,86,51,30,0.20574162679425836,0.6296296296296297,HistGB,46
0.5,0.7254509018036072,0.25862068965517243,0.37037037037037035,0.30456852791878175,0.6779490814578533,0.2733003201795126,0.1623246492985972,332,86,51,30,0.20574162679425836,0.6296296296296297,HistGB,47
0.5,0.7535070140280561,0.3055555555555556,0.4074074074074074,0.3492063492063492,0.7106592238171185,0.30525305939549974,0.1623246492985972,343,75,48,33,0.17942583732057416,0.5925925925925926,RF_tuned,43
0.5,0.7555110220440882,0.308411214953271,0.4074074074074074,0.35106382978723405,0.7131697087837439,0.30314458792595356,0.1623246492985972,344,74,48,33,0.17703349282296652,0.5925925925925926,RF_tuned,44
0.5,0.749498997995992,0.2962962962962963,0.3950617283950617,0.3386243386243386,0.7082521117608837,0.3004319840800253,0.1623246492985972,342,76,49,32,0.18181818181818182,0.6049382716049383,RF_tuned,45
0.5,0.7675350701402806,0.32673267326732675,0.4074074074074074,0.3626373626373626,0.7113828341898518,0.31072820679277985,0.1623246492985972,350,68,48,33,0.16267942583732056,0.5925925925925926,RF_tuned,46
0.5,0.7575150300601202,0.3113207547169811,0.4074074074074074,0.35294117647058826,0.7098765432098766,0.2980172904755784,0.1623246492985972,345,73,48,33,0.17464114832535885,0.5925925925925926,RF_tuned,47
