node_idx,tender_id,country,n_pairs,entropy,max_attention,normalised_entropy,tender_label,pred_prob
0,1,brazil,9,1.5103397369384766,0.37589380145072937,0.6873852370473299,0,0.020726380869746208
2,3,brazil,6,1.5643019676208496,0.34960252046585083,0.8730535512642212,0,0.0005536042735911906
3,4,brazil,2,0.2799765169620514,0.9195050597190857,0.4039207325865163,0,0.23642495274543762
4,5,brazil,7,1.8804017305374146,0.26318493485450745,0.966335332312388,0,0.9677661061286926
8,9,brazil,3,1.0633690357208252,0.4615374803543091,0.9679202086934496,0,0.13706772029399872
12,13,brazil,3,0.8911565542221069,0.647968590259552,0.8111656527185679,0,0.5221181511878967
14,15,brazil,6,1.599527359008789,0.28589925169944763,0.8927132165222571,0,0.04875054955482483
15,16,brazil,7,1.850785732269287,0.23524977266788483,0.9511157198947718,0,0.0014523467980325222
17,18,brazil,58,3.743375539779663,0.0598718523979187,0.9219130843744836,0,0.009747824631631374
18,19,brazil,13,2.2330574989318848,0.27356794476509094,0.8706049078262829,0,0.0007736440165899694
19,20,brazil,15,2.5168991088867188,0.17753127217292786,0.9294137560161586,0,0.0008048057206906378
20,21,brazil,7,1.2337604761123657,0.4541967511177063,0.6340274635554591,0,0.0003319219686090946
21,22,brazil,25,2.9475715160369873,0.11334782838821411,0.9157145775133086,0,0.011873573996126652
22,23,brazil,3,1.0053796768188477,0.507639467716217,0.9151360194939275,0,0.004543658811599016
23,24,brazil,5,1.5237693786621094,0.3404994308948517,0.9467711471749621,0,0.0017665117047727108
24,25,brazil,12,1.441263198852539,0.5888239741325378,0.5800069789243392,0,0.0006137005984783173
26,27,brazil,21,2.0095152854919434,0.36959776282310486,0.6600428561776611,0,0.0010916636092588305
28,29,brazil,21,2.5230352878570557,0.17465882003307343,0.8287129884789697,0,0.01381003949791193
29,30,brazil,14,2.262544631958008,0.2190762460231781,0.857330610657048,0,0.02066006138920784
32,33,brazil,18,2.5183990001678467,0.1803329586982727,0.8713062578500046,0,0.016754260286688805
34,35,brazil,6,1.128551959991455,0.5834580063819885,0.6298568414864691,0,0.005938718095421791
35,36,brazil,2,0.6895387768745422,0.542450487613678,0.9947941738975435,0,0.0005449690506793559
37,38,brazil,4,1.1014384031295776,0.5935876369476318,0.7945198610198503,0,0.8975244164466858
38,39,brazil,3,0.9735756516456604,0.5756329298019409,0.8861867482166651,0,0.0005938906688243151
39,40,brazil,3,1.026798963546753,0.4543772339820862,0.9346326944800345,0,0.921768307685852
40,41,brazil,8,1.8135615587234497,0.2916398048400879,0.8721387557057265,0,0.024711452424526215
41,42,brazil,4,0.9412659406661987,0.6973462104797363,0.6789798523784051,0,0.007110042031854391
