model,n_runs,n_test,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,fpr_mean,fpr_std,fnr_mean,fnr_std
M4,10,499,0.9601202404809619,0.00684173019589546,0.8391615227085488,0.02921564450009485,0.9345679012345679,0.010163859288253882,0.8840752275740899,0.018081404316716173,0.9925689644987891,0.004080224158840721,0.9672269638014163,0.021564125353555074,0.03492822966507177,0.007497709265418283,0.0654320987654321,0.010163859288253883
M4_mean,10,499,0.9625250501002004,0.006340749485682992,0.8481364652372523,0.02882374373736144,0.9382716049382717,0.008230452674897118,0.8906928880747254,0.01666250810386373,0.993706066513084,0.0023185620952188477,0.9732340825091098,0.012472905940483338,0.03277511961722488,0.007313082308204388,0.061728395061728406,0.008230452674897118
M3,5,499,0.9615230460921843,0.005560896563331311,0.8344458341937655,0.02681039997449405,0.9530864197530864,0.010329136130050308,0.8895849160473437,0.014201957372624422,0.9929292929292929,0.0022301067198947215,0.9747752372926906,0.005580514788823408,0.0368421052631579,0.007096840657507813,0.046913580246913576,0.010329136130050315
M2,5,499,0.8933867735470942,0.031380487584871185,0.6243587081476559,0.0825708065506502,0.9086419753086419,0.028421887489435405,0.737832983934576,0.06053694864099048,0.9256482958237345,0.051226575327412524,0.7066625444316024,0.18490818157480207,0.10956937799043062,0.03594094548650925,0.09135802469135802,0.0284218874894354
MLP135,5,499,0.8509018036072143,0.021236812491765854,0.5358739678003566,0.0587010854486538,0.7333333333333334,0.0321935921244575,0.6165131810219886,0.025875252158096145,0.8710851202079273,0.00950492662289967,0.706025385641744,0.01359771298667498,0.12631578947368421,0.03116482118561161,0.26666666666666666,0.03219359212445752
MLP7,5,499,0.5322645290581163,0.027499488405474042,0.19294682804509358,0.027110558884922285,0.5925925925925926,0.09442628728875527,0.29101881520307066,0.04205392699915294,0.572260617874653,0.03550940832274626,0.20036731352581033,0.012511981677974996,0.4794258373205741,0.024723465421557518,0.40740740740740744,0.09442628728875527
GCN,5,499,0.9446893787575149,0.004155599469604702,0.7637969102857907,0.018766212767468274,0.9555555555555555,0.011042310999998955,0.848793147662087,0.009005017198702754,0.9920137042944059,0.0012142849017127122,0.965317761238272,0.004460965741876312,0.05741626794258373,0.0063295485910636155,0.04444444444444444,0.011042310999998962
RF,5,499,0.9635270541082164,0.0008962196302604377,0.9563938618925831,0.0002859421966112188,0.8123456790123456,0.005521155499999456,0.878496644295302,0.003361605550066817,0.9821283005493532,0.002114583422090372,0.9488781987368318,0.0017479062539961174,0.007177033492822967,0.0,0.1876543209876543,0.005521155499999481
HistGB,5,499,0.9639278557114228,0.0,0.888888888888889,1.2412670766236366e-16,0.888888888888889,1.2412670766236366e-16,0.888888888888889,1.2412670766236366e-16,0.971144190442436,1.2412670766236366e-16,0.93982553117101,1.2412670766236366e-16,0.0215311004784689,0.0,0.11111111111111112,1.5515838457795457e-17
