epoch,train_loss,val_loss,val_f1,val_auc
0,0.7390120625495911,0.3298933506011963,0.6007604562737643,0.9580804971711664
1,0.35638347268104553,0.23342160880565643,0.7902439024390244,0.9764312725353971
2,0.26184341311454773,0.2062683254480362,0.82,0.9755225280684783
3,0.22354811429977417,0.1805039644241333,0.8333333333333334,0.9793627062996512
4,0.18812033534049988,0.17039521038532257,0.850828729281768,0.9812681382464163
5,0.1696617752313614,0.1631842702627182,0.8539325842696629,0.9825872834403306
6,0.1512824296951294,0.15367989242076874,0.8603351955307262,0.9849031161140913
7,0.1418057382106781,0.142839252948761,0.8651685393258427,0.9868671767361418
8,0.12938900291919708,0.13256283104419708,0.8700564971751412,0.9885380939817665
9,0.12408637255430222,0.12544146180152893,0.8764044943820225,0.9898279248380383
10,0.1157839298248291,0.12252198159694672,0.8715083798882681,0.9907366693049571
11,0.10987738519906998,0.1223028153181076,0.8715083798882681,0.9911470700319527
12,0.10354956984519958,0.1279514729976654,0.8764044943820225,0.9912643273825228
13,0.09873999655246735,0.1340838074684143,0.8764044943820225,0.9914108990707354
14,0.09086307883262634,0.13997523486614227,0.8764044943820225,0.9915281564213055
15,0.08823281526565552,0.13814549148082733,0.8700564971751412,0.9915574707589482
16,0.08421482145786285,0.1371820569038391,0.861878453038674,0.9917333567848035
17,0.08335127681493759,0.13295187056064606,0.861878453038674,0.9924955295635094
18,0.0748341903090477,0.1343902051448822,0.861878453038674,0.9924662152258669
19,0.08069140464067459,0.13510075211524963,0.8666666666666667,0.9926127869140796
20,0.07251287996768951,0.13895493745803833,0.8666666666666667,0.9926127869140797
21,0.07132089138031006,0.14170129597187042,0.8666666666666667,0.99273004426465
22,0.07867169380187988,0.13796024024486542,0.8666666666666667,0.9929352446281475
23,0.06972797960042953,0.1327655166387558,0.8666666666666667,0.9932577023422157
24,0.06773754954338074,0.13155516982078552,0.8666666666666667,0.993550845718641
