threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,positive_rate,tn,fp,fn,tp,fpr,fnr,seed,best_val_f1,n_epochs
0.5,0.9579158316633266,0.8409090909090909,0.9135802469135802,0.8757396449704142,0.9909622541201489,0.9678664276387738,0.1623246492985972,404,14,7,74,0.03349282296650718,0.08641975308641975,43,0.88268156424581,49
0.5,0.9539078156312625,0.8152173913043478,0.9259259259259259,0.8670520231213873,0.9883040935672514,0.9634199285408338,0.1623246492985972,401,17,6,75,0.04066985645933014,0.07407407407407407,44,0.8743169398907104,50
0.5,0.9579158316633266,0.8191489361702128,0.9506172839506173,0.88,0.9909622541201489,0.9688235257547415,0.1623246492985972,401,17,4,77,0.04066985645933014,0.04938271604938271,45,0.8839779005524862,50
0.5,0.9498997995991983,0.8043478260869565,0.9135802469135802,0.8554913294797688,0.9863252407112055,0.9579382576584349,0.1623246492985972,400,18,7,74,0.0430622009569378,0.08641975308641975,46,0.8651685393258427,50
0.5,0.8597194388777555,0.5478260869565217,0.7777777777777778,0.6428571428571429,0.9126941933959478,0.7812574292823435,0.1623246492985972,366,52,18,63,0.12440191387559808,0.2222222222222222,47,0.6666666666666666,25
