epoch,train_loss,val_loss,val_f1,val_auc
0,0.9191108345985413,0.36405420303344727,0.5454545454545454,0.9621876894604168
1,0.3945125639438629,0.2739190459251404,0.7004608294930875,0.9739621557803376
2,0.29005810618400574,0.21699678897857666,0.8,0.9782379782379782
3,0.22899913787841797,0.17980718612670898,0.8351648351648352,0.981939436484891
4,0.18341116607189178,0.15747247636318207,0.8333333333333334,0.9842688024506205
5,0.15924674272537231,0.14382393658161163,0.8426966292134831,0.9862471680653498
6,0.14423523843288422,0.13351215422153473,0.8409090909090909,0.9892466256102619
7,0.13311146199703217,0.12450835853815079,0.8505747126436781,0.9909378091196273
8,0.12108516693115234,0.11707988381385803,0.8654970760233918,0.9921503557867194
9,0.11267668753862381,0.11024712771177292,0.8654970760233918,0.993139538594084
10,0.10039974004030228,0.10241309553384781,0.872093023255814,0.9934905389450844
11,0.09339112043380737,0.09425955265760422,0.8735632183908046,0.9943520852611761
12,0.08500748872756958,0.08730791509151459,0.8735632183908046,0.9951817224544497
13,0.08039633184671402,0.0830986425280571,0.8837209302325582,0.9957879957879958
14,0.07863768935203552,0.07961107045412064,0.8888888888888888,0.9961709052618143
15,0.07528544962406158,0.07642226666212082,0.8786127167630058,0.9962985417530872
16,0.06979398429393768,0.07571911811828613,0.8786127167630058,0.996266632630269
17,0.070332370698452,0.07741883397102356,0.8786127167630058,0.9960751778933598
18,0.07076261937618256,0.07709413021802902,0.8837209302325582,0.995979450524905
19,0.061789654195308685,0.07918175309896469,0.8941176470588236,0.9961709052618144
20,0.0694999247789383,0.0746229737997055,0.8587570621468926,0.9957560866651776
21,0.0688723623752594,0.07501278072595596,0.8685714285714285,0.9962028143846325
22,0.060556553304195404,0.08156880736351013,0.9156626506024096,0.9968090877181786
23,0.06459354609251022,0.07598207145929337,0.8941176470588236,0.9970643607007244
24,0.05608652904629707,0.07276888936758041,0.8587570621468926,0.9964580873671783
25,0.05991192162036896,0.0718836635351181,0.8587570621468926,0.996553814735633
26,0.057235799729824066,0.07455399632453918,0.8888888888888888,0.9970324515779061
27,0.05304917320609093,0.07777798175811768,0.9101796407185628,0.9972239063148154
28,0.05539407953619957,0.07488804310560226,0.8941176470588236,0.9972239063148154
29,0.04892642796039581,0.06802526116371155,0.8888888888888888,0.9967452694725422
30,0.05110256001353264,0.06936394423246384,0.8994082840236687,0.9964899964899965
31,0.04998413845896721,0.07121600210666656,0.9101796407185628,0.9968090877181787
32,0.04661323502659798,0.07431098073720932,0.926829268292683,0.99731963368327
33,0.04651921987533569,0.07016506791114807,0.9156626506024096,0.997606815788634
34,0.042808350175619125,0.06775210052728653,0.9156626506024096,0.9973834519289064
35,0.04673989117145538,0.06623051315546036,0.9036144578313253,0.9969367242094515
36,0.04348360374569893,0.06798838824033737,0.9146341463414634,0.9976387249114521
37,0.041416335850954056,0.07326050847768784,0.926829268292683,0.9977982705255433
38,0.0402413010597229,0.07046796381473541,0.9090909090909091,0.9977025431570886
39,0.04200347140431404,0.06553786247968674,0.9090909090909091,0.9972558154376335
40,0.03951575234532356,0.07164011150598526,0.9146341463414634,0.9972239063148154
41,0.039186205714941025,0.08250944316387177,0.9375,0.996713360349724
42,0.03737608715891838,0.08767852932214737,0.9316770186335404,0.9965219056128147
43,0.04156498238444328,0.0629650130867958,0.9212121212121213,0.9978939978939979
44,0.03482834994792938,0.06516660749912262,0.9079754601226994,0.9972558154376336
45,0.04087775573134422,0.06295538693666458,0.9202453987730062,0.9977663614027251
46,0.03873424977064133,0.069402776658535,0.9375,0.997766361402725
47,0.03385687246918678,0.07812827825546265,0.9308176100628931,0.9976387249114521
48,0.03723815456032753,0.0730111300945282,0.9375,0.9977344522799068
49,0.029709985479712486,0.07237893342971802,0.925,0.9975749066658158
