threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,positive_rate,tn,fp,fn,tp,fpr,fnr,seed,best_val_f1,n_epochs
0.5,0.9539078156312625,0.8085106382978723,0.9382716049382716,0.8685714285714285,0.9938862307283359,0.975122430375534,0.1623246492985972,400,18,5,76,0.0430622009569378,0.06172839506172839,43,0.8813559322033898,31
0.5,0.9579158316633266,0.8333333333333334,0.9259259259259259,0.8771929824561403,0.9863547758284601,0.9291032591018318,0.1623246492985972,403,15,6,75,0.03588516746411483,0.07407407407407407,44,0.8813559322033898,23
0.5,0.9599198396793587,0.8426966292134831,0.9259259259259259,0.8823529411764706,0.9922027290448343,0.9651600915503498,0.1623246492985972,404,14,6,75,0.03349282296650718,0.07407407407407407,45,0.8813559322033898,24
0.5,0.9599198396793587,0.8351648351648352,0.9382716049382716,0.8837209302325582,0.9947427491287141,0.9792562123516954,0.1623246492985972,403,15,5,76,0.03588516746411483,0.06172839506172839,46,0.9058823529411765,46
0.5,0.9659318637274549,0.8555555555555555,0.9506172839506173,0.9005847953216374,0.9959241538188907,0.9828155696769515,0.1623246492985972,405,13,4,77,0.03110047846889952,0.04938271604938271,47,0.9132947976878613,47
0.5,0.9579158316633266,0.8333333333333334,0.9259259259259259,0.8771929824561403,0.9850847657865203,0.9269748018939311,0.1623246492985972,403,15,6,75,0.03588516746411483,0.07407407407407407,48,0.875,21
0.5,0.9599198396793587,0.8351648351648352,0.9382716049382716,0.8837209302325582,0.9934432039695198,0.9772661844067124,0.1623246492985972,403,15,5,76,0.03588516746411483,0.06172839506172839,49,0.8863636363636364,49
0.5,0.9679358717434869,0.8735632183908046,0.9382716049382716,0.9047619047619048,0.9945360033079331,0.9778425757094105,0.1623246492985972,407,11,5,76,0.02631578947368421,0.06172839506172839,50,0.8863636363636364,32
0.5,0.9599198396793587,0.8351648351648352,0.9382716049382716,0.8837209302325582,0.9947427491287141,0.9782329584437089,0.1623246492985972,403,15,5,76,0.03588516746411483,0.06172839506172839,51,0.8863636363636364,34
0.5,0.9619238476953907,0.8444444444444444,0.9382716049382716,0.8888888888888888,0.9924094748656153,0.9658181251294087,0.1623246492985972,404,14,5,76,0.03349282296650718,0.06172839506172839,52,0.88268156424581,25
