threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,positive_rate,tn,fp,fn,tp,fpr,fnr,seed,best_val_f1,n_epochs
0.5,0.9599198396793587,0.8279569892473119,0.9506172839506173,0.8850574712643678,0.9930592474452122,0.9695481637022431,0.1623246492985972,402,16,4,77,0.03827751196172249,0.04938271604938271,43,0.8888888888888888,30
0.5,0.9679358717434869,0.8823529411764706,0.9259259259259259,0.9036144578313253,0.9949199598322405,0.9789193049582642,0.1623246492985972,408,10,6,75,0.023923444976076555,0.07407407407407407,44,0.9132947976878613,50
0.5,0.969939879759519,0.875,0.9506172839506173,0.9112426035502958,0.9955106621773289,0.9814307600558397,0.1623246492985972,407,11,4,77,0.02631578947368421,0.04938271604938271,45,0.9132947976878613,45
0.5,0.9519038076152304,0.8064516129032258,0.9259259259259259,0.8620689655172413,0.9876247858703998,0.9394580899974567,0.1623246492985972,400,18,6,75,0.0430622009569378,0.07407407407407407,46,0.88,22
0.5,0.9679358717434869,0.8735632183908046,0.9382716049382716,0.9047619047619048,0.9955697324118377,0.9811573178318808,0.1623246492985972,407,11,5,76,0.02631578947368421,0.06172839506172839,47,0.9230769230769231,50
0.5,0.9599198396793587,0.8351648351648352,0.9382716049382716,0.8837209302325582,0.9948904247149861,0.9793840879366159,0.1623246492985972,403,15,5,76,0.03588516746411483,0.06172839506172839,48,0.9080459770114943,46
0.5,0.9599198396793587,0.8351648351648352,0.9382716049382716,0.8837209302325582,0.9937976253765727,0.9745639792351488,0.1623246492985972,403,15,5,76,0.03588516746411483,0.06172839506172839,49,0.8876404494382022,34
0.5,0.9679358717434869,0.8735632183908046,0.9382716049382716,0.9047619047619048,0.9948018193632229,0.9784095128713517,0.1623246492985972,407,11,5,76,0.02631578947368421,0.06172839506172839,50,0.9080459770114943,50
0.5,0.9659318637274549,0.8636363636363636,0.9382716049382716,0.8994082840236687,0.9935613444385374,0.977243911436289,0.1623246492985972,406,12,5,76,0.028708133971291867,0.06172839506172839,51,0.9122807017543859,50
0.5,0.9539078156312625,0.8085106382978723,0.9382716049382716,0.8685714285714285,0.993325063500502,0.9722256970660084,0.1623246492985972,400,18,5,76,0.0430622009569378,0.06172839506172839,52,0.8729281767955801,26
