node_idx,tender_id,country,n_pairs,entropy,normalised_entropy,max_attention,top_pair,top_pair_is_cartel,tender_label,pred_prob
0,1,brazil,9,1.5103397546118837,0.6873852450908442,0.37589380145072937,brazil_76_80,1,0,0.020726380869746208
2,3,brazil,6,1.5643020439180955,0.873053593846525,0.34960252046585083,brazil_17_79,0,0,0.0005536042735911906
3,4,brazil,2,0.2799765099635375,0.40392072248979505,0.9195050597190857,brazil_12_76,0,0,0.23642495274543762
4,5,brazil,7,1.880401840156136,0.9663353886452672,0.26318493485450745,brazil_69_72,1,0,0.9677661061286926
8,9,brazil,3,1.0633689858643764,0.9679201633121544,0.4615374803543091,brazil_76_80,1,0,0.13706772029399872
12,13,brazil,3,0.8911565574292049,0.8111656556377942,0.647968590259552,brazil_1_70,0,0,0.5221181511878967
14,15,brazil,6,1.5995273835823902,0.8927132302370451,0.28589925169944763,brazil_74_78,1,0,0.04875054955482483
15,16,brazil,7,1.8507858276854536,0.9511157689289818,0.23524977266788483,brazil_17_79,0,0,0.0014523467980325222
17,18,brazil,58,3.74337533945881,0.9219130350397552,0.0598718523979187,brazil_12_67,0,0,0.009747824631631374
18,19,brazil,13,2.233057587056703,0.8706049421836155,0.27356794476509094,brazil_12_67,0,0,0.0007736440165899694
19,20,brazil,15,2.516898871217946,0.9294136682523599,0.17753127217292786,brazil_1_16,0,0,0.0008048057206906378
20,21,brazil,7,1.2337605975032442,0.6340275259380304,0.4541967511177063,brazil_17_79,0,0,0.0003319219686090946
21,22,brazil,25,2.9475715166616143,0.91571457770736,0.11334782838821411,brazil_17_79,0,0,0.011873573996126652
22,23,brazil,3,1.0053796718792656,0.9151360149977261,0.507639467716217,brazil_50_53,0,0,0.004543658811599016
23,24,brazil,5,1.5237694418701941,0.9467711864483533,0.3404994308948517,brazil_2_43,0,0,0.0017665117047727108
24,25,brazil,12,1.4412632620596244,0.5800070043607416,0.5888239741325378,brazil_1_16,0,0,0.0006137005984783173
