epoch,train_loss,val_loss,val_f1,val_auc
0,1.3089460134506226,0.9702397584915161,0.43613707165109034,0.7770351478908334
1,0.8839672803878784,1.0038444995880127,0.552,0.8597308943804415
2,0.8032702803611755,1.0140260457992554,0.5361702127659574,0.8391522293553777
3,0.8764083385467529,0.9259846210479736,0.5991189427312775,0.8503209919971859
4,0.6565123200416565,0.8046282529830933,0.638095238095238,0.8731275466830826
5,0.6570783257484436,0.6652944087982178,0.6536585365853659,0.8815407615864921
6,0.547957718372345,0.47895699739456177,0.6633663366336634,0.9059009761674435
7,0.49674105644226074,0.3241391181945801,0.6938775510204082,0.9372966317826049
8,0.3658126890659332,0.29406145215034485,0.6854460093896714,0.9518365432533052
9,0.4067595899105072,0.26646628975868225,0.6952380952380952,0.961041245273063
10,0.34415575861930847,0.26015809178352356,0.7184466019417476,0.9606308445460675
11,0.2913147807121277,0.2592996060848236,0.7628865979381443,0.9576994107818134
12,0.28917181491851807,0.26505428552627563,0.7708333333333334,0.9567027233019669
13,0.25620123744010925,0.27546149492263794,0.8111111111111111,0.9567613519772521
14,0.23524209856987,0.2696581482887268,0.8156424581005587,0.9589892416380851
15,0.21732237935066223,0.2329539954662323,0.8156424581005587,0.9651452525430188
16,0.1823594570159912,0.17854781448841095,0.8176795580110497,0.9805939084806379
17,0.17602203786373138,0.16486936807632446,0.8387096774193549,0.9830856271802538
18,0.18352769315242767,0.16687904298305511,0.8351648351648352,0.9832908275437517
19,0.15248174965381622,0.17379385232925415,0.8426966292134831,0.9831735701931816
20,0.1499423235654831,0.1709885597229004,0.8361581920903954,0.9833787705566792
21,0.14687350392341614,0.16874942183494568,0.8522727272727273,0.983525342244892
22,0.13444198668003082,0.16305501759052277,0.8351648351648352,0.9837598569460323
23,0.14250095188617706,0.16100762784481049,0.8369565217391305,0.9842875150235981
24,0.13236890733242035,0.15890195965766907,0.8461538461538461,0.9848444874388063
25,0.11473225802183151,0.16132661700248718,0.8491620111731844,0.9850203734646615
26,0.1207955852150917,0.16492894291877747,0.8539325842696629,0.9848738017764489
27,0.1138661578297615,0.16804614663124084,0.8461538461538461,0.984228886348313
28,0.11961683630943298,0.16777116060256958,0.8478260869565217,0.9838771142966024
29,0.11027298122644424,0.16389033198356628,0.8449197860962567,0.9850790021399466
30,0.11305368691682816,0.16530150175094604,0.8651685393258427,0.9863395186585759
31,0.10032394528388977,0.1725771576166153,0.8587570621468926,0.9865447190220737
32,0.0952015072107315,0.17533527314662933,0.8587570621468926,0.9861050039574356
33,0.12224728614091873,0.1675630807876587,0.847457627118644,0.9861050039574356
34,0.10243463516235352,0.16225066781044006,0.861878453038674,0.9862515756456484
35,0.0963662713766098,0.15933990478515625,0.8715083798882681,0.9866033476973588
36,0.09135995805263519,0.1576283723115921,0.8633879781420765,0.9867499193855716
37,0.09571802616119385,0.15699760615825653,0.8633879781420765,0.9865740333597163
38,0.09380535781383514,0.1577678918838501,0.861878453038674,0.9866912907102864
39,0.10250415652990341,0.15859712660312653,0.8764044943820225,0.9870723770996395
40,0.08808247745037079,0.16257433593273163,0.8813559322033898,0.9868671767361415
41,0.0890522375702858,0.16813020408153534,0.8700564971751412,0.9864860903467887
42,0.08933110535144806,0.17242418229579926,0.875,0.9865447190220736
43,0.0931844711303711,0.17533402144908905,0.8651685393258427,0.9863688329962185
44,0.0895332470536232,0.1754382848739624,0.8651685393258427,0.9858411749186528
45,0.0950712263584137,0.17538295686244965,0.8603351955307262,0.9858118605810102
46,0.08381973952054977,0.1740880012512207,0.8651685393258427,0.9859291179315804
47,0.085516557097435,0.17314767837524414,0.8651685393258427,0.986017060944508
48,0.0896923765540123,0.17246529459953308,0.8651685393258427,0.9860463752821504
49,0.081676185131073,0.17104355990886688,0.8651685393258427,0.9861636326327207
