epoch,train_loss,val_loss,val_f1,val_auc
0,0.6888673901557922,0.3176327347755432,0.6558704453441295,0.9691026881247619
1,0.3458729088306427,0.2255825251340866,0.7751196172248804,0.9769589306129628
2,0.2529814839363098,0.19256539642810822,0.8290155440414507,0.9768709876000352
3,0.21377316117286682,0.17538219690322876,0.8478260869565217,0.9799783073901446
4,0.18197542428970337,0.1637837290763855,0.8571428571428571,0.9831149415178964
5,0.15711040794849396,0.15129193663597107,0.8666666666666667,0.985430774191657
6,0.14410199224948883,0.1430998146533966,0.8636363636363636,0.9870430627619968
7,0.13086475431919098,0.13882553577423096,0.8636363636363636,0.9890071233840472
8,0.12442261725664139,0.13655391335487366,0.8813559322033898,0.9897399818251107
9,0.11555885523557663,0.13417883217334747,0.8715083798882681,0.9905607832791018
10,0.10779979825019836,0.1309327632188797,0.8681318681318682,0.9907659836425996
11,0.09744364023208618,0.13069935142993927,0.8743169398907104,0.9915574707589482
12,0.09434767812490463,0.1336086243391037,0.861878453038674,0.9914695277460205
13,0.09069457650184631,0.13597407937049866,0.861878453038674,0.9915867850965908
14,0.0826692208647728,0.134419783949852,0.8586956521739131,0.9920558144988714
15,0.0796259269118309,0.15455429255962372,0.8651685393258427,0.9916747281095183
16,0.07855091989040375,0.17378978431224823,0.8651685393258427,0.9910884413566676
17,0.07866988331079483,0.15677805244922638,0.8586956521739131,0.9917040424471608
18,0.07750669866800308,0.1643599420785904,0.861878453038674,0.9918799284730162
19,0.0748855397105217,0.18849489092826843,0.8685714285714285,0.9916160994342332
20,0.07000979781150818,0.19755831360816956,0.8735632183908046,0.992143757511799
21,0.07473061978816986,0.17392225563526154,0.8813559322033898,0.9927593586022924
22,0.06939804553985596,0.15797436237335205,0.8729281767955801,0.9930231876410752
23,0.06722693890333176,0.15139253437519073,0.8586956521739131,0.9928766159528626
