threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,positive_rate,tn,fp,fn,tp,fpr,fnr,model,seed
0.5,0.9218436873747495,0.7333333333333333,0.8148148148148148,0.7719298245614035,0.9487270364463346,0.831703342280147,0.1623246492985972,394,24,15,66,0.05741626794258373,0.18518518518518517,LR,43
0.5,0.9218436873747495,0.7333333333333333,0.8148148148148148,0.7719298245614035,0.9487270364463346,0.831703342280147,0.1623246492985972,394,24,15,66,0.05741626794258373,0.18518518518518517,LR,44
0.5,0.9218436873747495,0.7333333333333333,0.8148148148148148,0.7719298245614035,0.9487270364463346,0.831703342280147,0.1623246492985972,394,24,15,66,0.05741626794258373,0.18518518518518517,LR,45
0.5,0.9218436873747495,0.7333333333333333,0.8148148148148148,0.7719298245614035,0.9487270364463346,0.831703342280147,0.1623246492985972,394,24,15,66,0.05741626794258373,0.18518518518518517,LR,46
0.5,0.9218436873747495,0.7333333333333333,0.8148148148148148,0.7719298245614035,0.9487270364463346,0.831703342280147,0.1623246492985972,394,24,15,66,0.05741626794258373,0.18518518518518517,LR,47
0.5,0.9679358717434869,0.9710144927536232,0.8271604938271605,0.8933333333333333,0.98180636777128,0.947121117130427,0.1623246492985972,416,2,14,67,0.004784688995215311,0.1728395061728395,RF_default,43
0.5,0.9659318637274549,0.9571428571428572,0.8271604938271605,0.8874172185430463,0.9838738259790891,0.9475503562436836,0.1623246492985972,415,3,14,67,0.007177033492822967,0.1728395061728395,RF_default,44
0.5,0.9659318637274549,0.9571428571428572,0.8271604938271605,0.8874172185430463,0.9826481186130308,0.9489557235098125,0.1623246492985972,415,3,14,67,0.007177033492822967,0.1728395061728395,RF_default,45
0.5,0.9619238476953907,0.9558823529411765,0.8024691358024691,0.87248322147651,0.9840953393584972,0.9477068540350885,0.1623246492985972,415,3,16,65,0.007177033492822967,0.19753086419753085,RF_default,46
0.5,0.9619238476953907,0.9558823529411765,0.8024691358024691,0.87248322147651,0.9790743694252466,0.9449692479553237,0.1623246492985972,415,3,16,65,0.007177033492822967,0.19753086419753085,RF_default,47
0.5,0.9639278557114228,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9711441904424359,0.9398255311710101,0.1623246492985972,409,9,9,72,0.0215311004784689,0.1111111111111111,HistGB,43
0.5,0.9639278557114228,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9711441904424359,0.9398255311710101,0.1623246492985972,409,9,9,72,0.0215311004784689,0.1111111111111111,HistGB,44
0.5,0.9639278557114228,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9711441904424359,0.9398255311710101,0.1623246492985972,409,9,9,72,0.0215311004784689,0.1111111111111111,HistGB,45
0.5,0.9639278557114228,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9711441904424359,0.9398255311710101,0.1623246492985972,409,9,9,72,0.0215311004784689,0.1111111111111111,HistGB,46
0.5,0.9639278557114228,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9711441904424359,0.9398255311710101,0.1623246492985972,409,9,9,72,0.0215311004784689,0.1111111111111111,HistGB,47
0.5,0.9639278557114228,0.9565217391304348,0.8148148148148148,0.88,0.9826776537302853,0.9503306574593045,0.1623246492985972,415,3,15,66,0.007177033492822967,0.18518518518518517,RF_tuned,43
0.5,0.9639278557114228,0.9565217391304348,0.8148148148148148,0.88,0.9841248744757517,0.9498767127010996,0.1623246492985972,415,3,15,66,0.007177033492822967,0.18518518518518517,RF_tuned,44
0.5,0.9639278557114228,0.9565217391304348,0.8148148148148148,0.88,0.9814814814814814,0.9471372094781041,0.1623246492985972,415,3,15,66,0.007177033492822967,0.18518518518518517,RF_tuned,45
0.5,0.9619238476953907,0.9558823529411765,0.8024691358024691,0.87248322147651,0.9835637072479178,0.9502306842233581,0.1623246492985972,415,3,16,65,0.007177033492822967,0.19753086419753085,RF_tuned,46
0.5,0.9639278557114228,0.9565217391304348,0.8148148148148148,0.88,0.9787937858113296,0.9468157298222926,0.1623246492985972,415,3,15,66,0.007177033492822967,0.18518518518518517,RF_tuned,47
