threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,positive_rate,tn,fp,fn,tp,fpr,fnr,seed,best_val_f1,n_epochs
0.5,0.7944444444444444,0.009900990099009901,0.008130081300813009,0.008928571428571428,0.38989559174588606,0.08630373825675683,0.11388888888888889,857,100,122,1,0.1044932079414838,0.991869918699187,43,0.9624060150375939,41
0.5,0.6407407407407407,0.07395498392282958,0.18699186991869918,0.10599078341013825,0.40323334267825434,0.0916209350842466,0.11388888888888889,669,288,100,23,0.30094043887147337,0.8130081300813008,44,0.96875,45
0.5,0.7574074074074074,0.0457516339869281,0.056910569105691054,0.050724637681159424,0.35509850396309606,0.08354301689856734,0.11388888888888889,811,146,116,7,0.15256008359456635,0.943089430894309,45,0.9696969696969697,48
0.5,0.6537037037037037,0.0858085808580858,0.21138211382113822,0.12206572769953052,0.40334378265412746,0.08956066130063473,0.11388888888888889,680,277,97,26,0.2894461859979101,0.7886178861788617,46,0.9473684210526315,50
0.5,0.7638888888888888,0.06,0.07317073170731707,0.06593406593406594,0.3568485528115469,0.0829440700512164,0.11388888888888889,816,141,114,9,0.14733542319749215,0.926829268292683,47,0.9473684210526315,42
